CompNameCommon,Address,PostalCode,Province,City,Contact,Email,PhoneMain,CompWCBNumber,PermanentlyClosedFlag,CompNameAlias,CompNameLegal,HasActiveHCP,AddressText
12585120 Canada Ltd,,,MB,,,,,,,,12585120 Canada Ltd,FALSE,
1299117 Alberta Inc,6661 Betsworth Ave,R3R 0K2,MB,Winnipeg,Trevor McAllister,travor_mcallister@Yahoo.ca,229-3312,,,,1299117 Alberta Inc,FALSE,6661 Betsworth Ave
1536943 Alberta Ltd,RR 2,T0M 0V0,AB,Delburne,,,403.391.3043,,,,1536943 Alberta Ltd,FALSE,RR 2
1771 Source Adult Video,11824 St Albert Trail,T5L 4N4,AB,Edmonton,Carmen Haywood; Canadian Manager,carmenhaywood@yahoo.ca,1-789-451-9370; 204-772-3388,1502673,,,722088 Alberta Ltd,FALSE,11824 St Albert Trail
18 Wheeler Safety & Repair Shop Ltd.,,,MB,,Cornie Peters,18wheelr@mts.net,204-331-4162,1473446,,,18 Wheeler Safety & Repair Shop Ltd.,FALSE,
1-800 Got Junk,,,MB,,,,,1778463,,,6378499 Manitoba Ltd.,FALSE,
1911,,,MB,,,,,,,,1911 Gold,FALSE,
1911 Gold,,,MB,,Dan Groulx,dgroulx@havilah.com,"204-277-5411, Ext. 191 or 204-803-8673 (Cell)",2345676,,Havilah Gold,1911 Gold Canada Corporation,FALSE,
1911 Gold,,,MB,,Dan Groulx,dgroulx@havilah.com,"204-277-5411, Ext. 191 or 204-803-8673 (Cell)",2345676,,Havilah Gold,1911 Gold Canada Corporation,FALSE,
1928 Eatery & Pub,,,MB,,,,,,,,,FALSE,
1Life Workplace Safety and Health Ltd,175 Marion St,R2H 0T3,MB,Winnipeg,Theo Kowalchuk,infor@1lifeworkplacesafety.com,231-5433; 1-866-223-7374,,,,,FALSE,175 Marion St
1st Choice Concrete Pumping Ltd,,R0A 1E0,MB,Niverville,Ed Giesbrecht,,(204) 388-6518,1437862,,,,FALSE,
1st Choice Convenience Store,,,MB,,,,,,,,,FALSE,
1st Choice First Aid & CPR Training,18 Satinwood Place,R2N 3J5,MB,Winnipeg,Ms Tori Webber,torimwebber@hotmail.com,255-6953,,,,,FALSE,18 Satinwood Place
1st Choice RV and Auto Restoration Inc.,,,MB,,,,,,,,,FALSE,
1st Class Heating & Air Conditioning Ltd,Group 10 RR 2,R0A 0Y0,MB,Lorette,,,,1025154,,,,FALSE,Group 10 RR 2
1st Financial Building Corporation of Canada,25 Young St E,N2J 2L4,ON,Toronto,James Vicek,palberto@1stfinancialbuilding.com,519-747-1504,9910440,,,,FALSE,25 Young St E
2 & 10 Metal Recycling Ltd,SW-2-8-19W RM of Cornwallis,R7A 5Y1,MB,Brandon,,,,921718,,,,FALSE,SW-2-8-19W RM of Cornwallis
2 Architecture Inc.,,,MB,,Chris Gilmour,info2architecture@gmail.com,204-615-7434 or 204-298-1308 (Cell),,,2Architecture Inc.,,FALSE,
2 Bar D Livestock Inc,,,MB,,,,,2261238,,,,FALSE,
20 VIC Management Inc,1 Queen St Suite 301,M5C 2W5,ON,Toronto,Val Mackinnon-Human Reasources Director,vmackinnon@vic.com,(416) 681-9004,,,,,FALSE,1 Queen St Suite 301
204 Demolition and Salvage Ltd.,521 Golspie St Suite 6,R2K 2T8,MB,Winnipeg,1590959,,663-1200,,,,,FALSE,521 Golspie St Suite 6
204 Pallet & Packaging,,,MB,,,,,,,,,FALSE,
204 Property Restoration Services Ltd.,521 Golspie St Suite 6,R2K 2T8,MB,Winnipeg,1590959,,663-1200,,,204 Services Ltd,,FALSE,521 Golspie St Suite 6
21st Century Builders,,,MB,,,,,,,,21st Centruy Builder 2020 Inc.,FALSE,
21st Century Lada Inc,176 Sutherland Ave Suite 2,R2W 3E4,MB,Winnipeg,,,,1193242,,,,FALSE,176 Sutherland Ave Suite 2
2261297Alberta.Ltd,,,MB,,,,,,,,,FALSE,
24-7 Intouch,335 Maxwell Cres,S4N 5X9,SK,Regina,Nikki Hunt,,306-272-5952,1578863,,24-7 Intouch Inc.,,FALSE,335 Maxwell Cres
2618967 MANITOBA LTD,,,MB,,,,,,,,2618967 MANITOBA LTD,FALSE,
288 Portage Parking Ltd,288 Portage Ave,R3C 0B8,MB,Winnipeg,,,,0845206,,,,FALSE,288 Portage Ave
2-Jag Construction,322 Keewatin St,R9A 1M1,MB,The Pas,Jeremie Gregoire,2jagconstruction@gmail.com,623-0654,,,,,FALSE,322 Keewatin St
3 4 5 Nursery School Inc,141 Madison Cres,R7A 2G9,MB,Brandon,,,,0724476,,,,FALSE,141 Madison Cres
3 B Construction,132 Armstrong Ave,R2V 1P4,MB,Winnipeg,,,,0969956,,,,FALSE,132 Armstrong Ave
3 B Upholstering & Cleaning Co-operative,741 Selkirk Ave,R2W 2N5,MB,Winnipeg,,,,0981167,,,,FALSE,741 Selkirk Ave
3 D Enterprises Ltd,,S0C 2H0,SK,Redvers,,,306-452-3256,,,,,FALSE,
3 D Services Ltd,944 6th Ave S,R0M 2C0,MB,Virden,,,,1001320,,,,FALSE,944 6th Ave S
3 Fathoms Scuba Ltd,163 Henderson Hwy,R2L 1L5,MB,Winnipeg,Kip Basaraba,k.basaraba@shaw.ca,981-3750,0631622,,,,FALSE,163 Henderson Hwy
3 H Hotels Inc,83 Rouge Road,R3K 1J4,MB,Winnipeg,,,,0617811,,,,FALSE,83 Rouge Road
3 Point Enterprises Ltd,154 Maple St N,R2W 3L2,MB,Winnipeg,,,,871665,,,,FALSE,154 Maple St N
3 Seasons Landscaping Inc,356 Chalfort Road,R3R 0R3,MB,Winnipeg,Gary Wineberg,,895.4422,1520725,,,,FALSE,356 Chalfort Road
3 Way Electric Ltd,,R1N 3C3,MB,Portage La Prairie,,,,0896712,,,,FALSE,
3 Way Trucking Ltd,13 Stanhope Ave Suite 109,T4N 0B7,AB,Red Deer,,,,0592717,,,,FALSE,13 Stanhope Ave Suite 109
3 West Stainless Products Ltd,288 Princess St,R3B 1M3,MB,Winnipeg,,,,0938803,,,,FALSE,288 Princess St
303 Projects,,,MB,,,,,,,,,FALSE,
3084761 Manitoba Ltd.,,,MB,,Chester Konrad,"ckonrad1972@gmail.com, troy@wmdyck.com",204 451 8716,1146471,,Wm Dyck & Sons,3084761 Manitoba Ltd.,FALSE,
3170357 Manitoba Ltd,500 Dawson Road N,R2J 0T1,MB,Winnipeg,Denis Bruno,,233-1497,1282425,,,,FALSE,500 Dawson Road N
332 Motor N Wheels,,,MB,,,,,,,,,FALSE,
3388680 Manitoba Limited,Portage Ave Suite 426,R3C 0C9,MB,Winnipeg,,,204-944-0590,1279645,,Dollar Wise Quality Cleaners,,FALSE,Portage Ave Suite 426
3409377 Manitoba Ltd,,,MB,Winnipeg,Dan Omeniuk,,697-7640,,,,,FALSE,
3572405 Manitoba Ltd,,S0P 0B0,SK,Denare Beach,Joe Werbicki,jwerbicki@sasktel.net,306-362-2288,,,,,FALSE,
360 Degree Agricultural Consulting Inc,,,MB,Roblin,Miles Williamson,,204-937-5965,1542638,,,,FALSE,
360 Glassworks Inc,,,MB,,,,204-228-4990,2357606,,,,FALSE,
364 Metal Works,,,MB,,,,,,,,364 Metal Works,FALSE,
36D Building & Design,,,MB,,,,,,,,,FALSE,
3944230 MB Ltd,SW 25 10 14 W,R0K 0H0,MB,Carberry,,,204-834-3012,1590108,,,,FALSE,SW 25 10 14 W
3D Nails,,,MB,,,,,,,,,FALSE,
3M Canada Company,400 Route 100,R6M 1Z9,MB,Morden,Christine Bell,,204-822-6284,386649,,,,FALSE,400 Route 100
3-Phase Electrical Ltd,65 Trottier Bay,R3T 3R3,MB,Winnipeg,Keith Purdom or Kristal Bauwman,3-phase@mts.net,204-255-2111,1397685,,,,FALSE,65 Trottier Bay
3TS Canada Limited,14 Culross Bay,R2C 4E2,MB,Winnipeg,,,222-2712,,,,,FALSE,14 Culross Bay
4 12 Electronics Corp,1230 Sherwin Road,R3H 0V3,MB,Winnipeg,,,,0161786,,,,FALSE,1230 Sherwin Road
4 E's Setting Lake Service,Box 29,R0B 1S0,MB,Wabowden,,,,1060045,,,,FALSE,Box 29
4 L Enterprises Ltd,,R0M 0T0,MB,Hamiota,,,,0715086,,,,FALSE,
4 Play Sports Bar & Grill,323 Portage Ave Suite 212,R3E 2B1,MB,Winnipeg,Jennifer Watson,,221-4583; cell 999-4972,1534692,,,5348014 Manitoba Ltd,FALSE,323 Portage Ave Suite 212
4 Safety Sense,,,MB,,Clint Chornawka (Owner),clint@rsafetysense.com,204-797-4418,,,,,FALSE,
4 Seasons Restaurant,344 Donald St,R3B 2H7,MB,Winnipeg,,,,0831685,,,,FALSE,344 Donald St
4 Square Builders Ltd,717 Strathcona St,R3G 3E9,MB,Winnipeg,,,,0919431,,,,FALSE,717 Strathcona St
4299061 Manitoba Ltd,3 West Bourne Cres,R2N 2R7,MB,Winnipeg,"Eric Mercr, Lead Hand",,256-4647,,,,,FALSE,3 West Bourne Cres
431 Demolition,,,MB,,Cory Statkewich (Owner),coryleestatkewich@gmail.com,204-805-3976,2420230,,(431) Demolition (Company common name on the WCB spreadsheet),Cory Statkewich,FALSE,
431 Demolition,,,MB,,Cory Statkewich (Owner),coryleestatkewich@gmail.com,204-805-3976,2420230,,(431) Demolition (Company common name on the WCB spreadsheet),Cory Statkewich,FALSE,
431 Project Solutions,,,MB,,Cory Statkewich (Owner),coryleestatkewich@gmail.com,204-805-3976,2420230,,,,FALSE,
431 Roofing,,,MB,,,,,,,,,FALSE,
4319907 Canada Ltd,,,MB,,Jeff Thompson,jthompson@leaderequity.com,204-955-0444,No number on spreadsheet,,,,FALSE,
4570732 Manitoba Ltd,54 Patterson Drive,R0C 2Z0,MB,Stonewall,Gary Olson,,204-886-7923,,,,,FALSE,54 Patterson Drive
4572568 Manitoba Ltd,18 Hammond Road,R3R 1M1,MB,Winnipeg,Mitch House,,204-890-6773,,,,,FALSE,18 Hammond Road
4671954 Manitoba Ltd,909 Community Row,R3R 3X4,MB,Winnipeg,Randy Murphy,,791-8331,,,,4671954 Manitoba Ltd (Registration Cancelled in 2003),FALSE,909 Community Row
4741600 MB Ltd,,,MB,Roblin,Leonard Funk,,204-937-0961,,,,,FALSE,
4781172 Manitoba Limited,,,MB,,,,,,,,,FALSE,
4928777 Manitoba Ltd,393 Brandon Ave,R3L 0T5,MB,Winnipeg,,,,1574243,,,4928777 Manitoba Ltd,FALSE,393 Brandon Ave
494 Security Services,1874 Portage Ave,R3J 0H2,MB,Winnipeg,Rick Lord,,885-9320,,,,,FALSE,1874 Portage Ave
49th Apparel Inc,310 Ross Ave Suite 6 3,R3A 0L4,MB,Winnipeg,Mark Yukelis,,943-8884,1203470,,,,FALSE,310 Ross Ave Suite 6 3
4Refuel,,,MB,,,,,,,,,FALSE,
4Refuel Canada Ltd,640 Plessis Road,R2C 2Z4,MB,Winnipeg,,www.4refuel.com,204.231.3631,16 33023,,,,FALSE,640 Plessis Road
4-Walls Exterior Finishing Ltd,,,MB,,,,,2593408,,,,FALSE,
4-Way Taxi,305 10th St,R7A 4E9,MB,Brandon,Harpreet Brar or Baljinder Bath,4wayhappy@gmail.com,204-727-2500,1044239,,,10W30 Manitoba Ltd,FALSE,305 10th St
5 Star Building Solutions,,,MB,,,,,2137875,,,,FALSE,
5 Star Building Solutions,,,MB,,,,,2137875,,,,FALSE,
5000408 Manitoba Ltd,68 Glencairn Road,R2V 4J2,MB,Winnipeg,Eric Loepp,eloepp@live.ca,291-6004,,,,,FALSE,68 Glencairn Road
508 Sherbrook Lodge Inc.,,,MB,,,,,,,,,FALSE,
511 Training And Education Centre Inc,1080 Wall St Suite 201 201,R3E 2R9,MB,Winnipeg,Jeff Martin,,775-9268,6022214,,,,FALSE,1080 Wall St Suite 201 201
5125634 Manitoba Ltd,15 Aldrin Way,,MB,Brandon,Darcy Fluker,,204-725-2375,,,,,FALSE,15 Aldrin Way
5143055 Manitoba Ltd,,,MB,,Steve Yung,stevesy2014@gmail.com,204-952-8617,No number in spreadsheet,,,5143055 Manitoba Ltd,FALSE,
515 Systems,650 Dufferin Ave,R2W 2Z2,MB,Winnipeg,Doug Fehr (excavator operator) cel: 204-381-2581 Mike Fehr (owner),mike@.515systems.net,586-5582 office,1601376,,,5150132 Manitoba Ltd,FALSE,650 Dufferin Ave
515 Systems,556 Gertrude Ave,R2L 0N1,MB,Winnipeg,,www.515systems.net,,,,,,FALSE,556 Gertrude Ave
5188394 MB Ltd,,,MB,,,,,,,,5188394 MB Ltd,FALSE,
5321085 MB LTD,349 Hargrave St,R3B 2J7,MB,Winnipeg,Paul Puzanoski,,943-0055,70502,,Trades Labour Corp,,FALSE,349 Hargrave St
5359318 Manitoba Ltd,,R0M 0N0,MB,Elkorn,Rick Paull,,204-845-2109,1520733,,,Paull's Ag-Spray,FALSE,
5434867 Mantioba Ltd,8 Halkirk Bay,R2K 2V7,MB,Winnipeg,Bill Fecio,,668-1944,,,,,FALSE,8 Halkirk Bay
547 Renovations,149 Strongberg Ave,R2G 4H5,MB,Winnipeg,Russell Aitkenhead (Owner),547renovations@mts.net,204-336-0100 or 204-232-9255 (Cell),1525625,,,"Russell Aitkenhead, Jennifer Aitkenhead",FALSE,149 Strongberg Ave
5495670 Manitoba Ltd,47 Cotter Circle,R2N 4R3,MB,Winnipeg,,,,,,,,FALSE,47 Cotter Circle
5563985 MB Ltd,,,MB,,,,,,,,,FALSE,
5641340 Manitoba Ltd,,,MB,,Calvin Chartrand (Owner),psgencon@gmail.com,204-995-6384,,,PS Gencon or PS General Construction,,FALSE,
5726428 MB Ltd,,,MB,,,,,,,,,FALSE,
5750351 Mantioba Ltd,,,MB,,,,,,,,,FALSE,
5750351 Mantioba Ltd,,,MB,,,,,,,,,FALSE,
5990701 Manitoba Ltd,,,MB,,,,,,,Canyon Ridge Development Corporation,,FALSE,
5D Contractor,,,MB,,,,,,,,,FALSE,
5TWO5 Bistro,525 Park Ave,,MB,,"Doug Bergman, Owner",,(204) 268-8182,0846196,,,Douglas Bergman,FALSE,525 Park Ave
6135367 MB Inc,,,MB,,Ed Hiebert,eddiehiebert@gmail.com,204-392-7688,,,,,FALSE,
6161554 MB Ltd,,,MB,Strathclair,Travis McDonald,,204-365-7567,,,,,FALSE,
6163859 Manitoba Ltd,,,MB,,,,,,,,,FALSE,
6232389 Manitoba Ltd,,,MB,,,,,,,,,FALSE,
6261168 Manitoba Ltd,,,MB,,,,,,,,,FALSE,
6261664 MB Inc,220 Collegiate,R3J 1V1,MB,Winnipeg,Dawn Gilson,,952-7066,,,,,FALSE,220 Collegiate
6320201 Manitoba Ltd,430 Princess Ave,,MB,Brandon,Van Bi Le,,204-573-5663,,,Van Bi Le,,FALSE,430 Princess Ave
6389539 Manitoba Ltd,,,MB,,,,,1785823 (Unregistered Account),,,,FALSE,
6438343 Manitoba Ltd.,,,MB,,Rob Martens,robm@oakmail.ca,380-9666,1819762,,Prairie Projects,6438343 Manitoba Ltd.,FALSE,
6454721 MB Ltd,,,MB,,Hugh Cummins,accel1@mts.net,204-797-2253,,,,,FALSE,
6474081 MB Ltd,Main St Suite 773,R0M 0C0,MB,Birtle,Steve Desjardins,,204-847-0089,,,,Steve Desjardins,FALSE,Main St Suite 773
6479279 Manitoba Ltd.,,,MB,,,,,,,,6479279 Manitoba Ltd.,FALSE,
6489444 MB Ltd,Lakeview Drive Suite 32,,MB,Brandon,Chad Bodie (Foreman),mark@randmhomes.ca,204-728-4423,1853605,,R & M Homes Ltd,,FALSE,Lakeview Drive Suite 32
6504664 Manitoba Ltd,257 Osborne St S,R3L 1Z6,MB,Winnipeg,Felicia Bruni,feliciabruni@hotmail.com,204.452.7398 cell 204.294.6987,,,,,FALSE,257 Osborne St S
6517138 Manitoba Ltd,257 Osborne St S,R3L 1Z6,MB,Winnipeg,Felicia Bruni,feliciabruni@hotmail.com,204-452-7398204-294-6987,0832402,,,,FALSE,257 Osborne St S
6539963 Canada Ltd.,,,MB,,,,,,,,6539963 Canada Ltd.,FALSE,
6610421 MB Ltd,,,MB,,John Bergen,johnbergen10001991@gmail.com,204-362-5711,,,,6610421 MB Ltd,FALSE,
662084 Manitoba Ltd,146 Higgins Ave,R3B 0B3,MB,Winnipeg,,,779-0780,,,,,FALSE,146 Higgins Ave
6634452 Manitoba Ltd,661 Hoddinott Road,R2E 1B7,MB,East St. Paul,Terry Dupont (GM) or Joseph Douglas,mbconcretecutting@outlook.com,204-999-5880 (Terry) or 204-261-6614 (Joseph),Unable to find on spreadsheet,,Naked Design Homes 2013,6634452 Manitoba Ltd,FALSE,661 Hoddinott Road
6710841 Manitoba Ltd,,,MB,,,,,,,,6710841 Manitoba Ltd,FALSE,
6727132 Manitoba Ltd.,,,MB,,Raj Sharma,trdreamhomes@yahoo.com,204-880-9373,2012292,,TR Dream Homes,6727132 Manitoba Ltd.,FALSE,
6731741 Manitoba Ltd,,,MB,,,,,2007524,,,6731741 Manitoba Ltd,FALSE,
6735119 MB Ltd,,,MB,,Isaak Klassen,,Isaak's cell 204.721.3324,,,,,FALSE,
6735119 MB Ltd,,,MB,,Isaak Klassen,,Isaak's cell 204.721.3324,,,,,FALSE,
6735119 MB Ltd,,,MB,,Isaak Klassen,,Isaak's cell 204.721.3324,,,,,FALSE,
6740902Mb Ltd,,,MB,,,,,,,,,FALSE,
6791477MB,,,MB,,,,,,,,,FALSE,
679258 Manitoba Ltd - Stan HildebrandPenn-co Construction RTM Site,328 4th St,R5G 1P6,MB,Steinbach,Stan Hildebrand,,204-380-2613,1409259,,,679258 Manitoba Ltd,FALSE,328 4th St
6806148 Manitoba,,,MB,,,,,,,,,FALSE,
6841032 Manitoba Ltd,,,MB,,,,,,,,6841032 Manitoba Ltd,FALSE,
6864776 Manitoba Ltd,,,MB,,Sohan Jammu (Owner),sohanjhomes@gmail.com,204-999-7451,2095875 (Unregistered Account),,Urban Ridge Homes,6864776 Manitoba Ltd,FALSE,
6941932 MB Limited,,,MB,,,,,,,,6941932 MB Limited,FALSE,
6941932 MB Ltd,,,MB,,,,,,,,,FALSE,
69855 MB Ltd Trading As Brooker Window,123 St. Claire Blvd,R2C 0V5,MB,Winnipeg,"John East, Owner - Note: Residential Owned and Operated Business",wjohneast@mts.net,204-224-2776,,,69855 MB Ltd Trading As Brooker Window,,FALSE,123 St. Claire Blvd
7 Eleven Food Stores,1622 B St Mary's Road,R3H 0T8,MB,Winnipeg,Bob Fournier; Paulin Harder,,782-7214; 256-0711,591263,,Seven Eleven Food Stores,Southland Canada Inc,FALSE,1622 B St Mary's Road
7 Oaks Upholstery Ltd,2035 Portage Ave,R3J 0K6,MB,Winnipeg,Fred Karasinski,,204-889-1887,,,,,FALSE,2035 Portage Ave
7 Square Design Inc.,,,MB,,,,,,,,,FALSE,
703166 Manitoba Ltd,6661 Betsworth Ave,R3R 0K2,MB,Winnipeg,Trevor Mcallister - owner,trevor_mcallister@yahoo.ca,204-229-3312,,,,formerly 1299117 Alberta Inc,FALSE,6661 Betsworth Ave
7057 Polo Park,,,MB,,,,,,,,,FALSE,
7080876 Manitoba Ltd.,,,MB,,,,,,,,,FALSE,
7097914 Manitoba Ltd,,,MB,,,,204 277 5411,,,,,FALSE,
7169358 Manitoba Ltd,,,MB,,Mario Lopes (Owner),mario@mariolopes.ca,204-336-2746,No number in spreadsheet,,,7169358 Manitoba Ltd,FALSE,
7191015MB,,,MB,,,,,,,,,FALSE,
7365579 Manitoba Ltd,,,MB,,Harv Barkman,hlbarkman@oakmail.ca,204-355-9596 or 204-346-2201 (Cell),2405744,,,,FALSE,
739433 Alberta Ltd,71 Woodside Cres,R3W 1B5,MB,Winnipeg,Keith Kocian,kkocian@shaw.ca,,,,,,FALSE,71 Woodside Cres
7417854 Manitoba,,,MB,,,,,,,,,FALSE,
7525100 Manitoba Ltd.,,,MB,,,,,,,,,FALSE,
7551909 MB Inc,,,MB,,Rupinder Brar,rupinderbrar66@gmail.com,204-899-2827,,,,,FALSE,
7588721 Manitoba Ltd,,,MB,,Hardev Motey,moteygeneral@protonmail.com,204-963-7234,,,,,FALSE,
79617 Manitoba Ltd,170 Agri Park Road,R0G 1N0,MB,Oak Bluff,Isacc Peters,,897-1083,1152321,,,,FALSE,170 Agri Park Road
9 Leaf Nail Salon,,,MB,,Chau Doung,,204-691-3332,,,,,FALSE,
911042 Alberta Ltd,,,MB,,,,,,,,911042 Alberta Ltd,FALSE,
A & A Bautista Ltd,47 Citadel Cres,R2P 0Y9,MB,Winnipeg,,,,1091974,,,,FALSE,47 Citadel Cres
A & A Building Cleaning & Contracting Ltd,1569 Alexander Ave,R3E 1L0,MB,Winnipeg,,,,1215060,,,,FALSE,1569 Alexander Ave
A & A Building Contracting,,,MB,,,,,1215060,,,,FALSE,
A & A Building Contracting,235 B McPhillips St,R3E 2K3,MB,Winnipeg,Bernie Cheater,aabuilding@mts.net,228-5616,1215060,,,,FALSE,235 B McPhillips St
A & A Concrete Company Ltd,1145 Rue Des Trappistes,R3V 1B9,MB,Winnipeg,,,,0812842,,,,FALSE,1145 Rue Des Trappistes
A & A Construction,68 3rd St SE,R0J 0P0,MB,Erickson,Albert Johnson,,636-2277,0570416,,,,FALSE,68 3rd St SE
A & A Contract Customs Brokers Ltd,120 176 th St Suite 101,V3S 9S2,BC,Surrey,Barb Arnett,,604-538-1042,,,,,FALSE,120 176 th St Suite 101
A & A Coring Services Ltd,,S4A 2K9,SK,Estevan,,,,0880328,,,,FALSE,
A & A Hoffman Contracting Ltd,35 Hudson St,R8A 1C3,MB,Flin Flon,,,,0898965,,,,FALSE,35 Hudson St
A & A Industrial Division Ltd,1879 Ness Ave,R3J 0Y7,MB,Winnipeg,,,,0997916,,,,FALSE,1879 Ness Ave
A & A Music And Entertainment Inc,70 Galaxy Blvd,M9W 4X6,ON,Etobicoke,,,,1090125,,,,FALSE,70 Galaxy Blvd
A & A Sewer Services Ltd,386 Broadway Ave Suite 4,R3C 3R6,MB,Winnipeg,,,,0636688,,,,FALSE,386 Broadway Ave Suite 4
A & A Stucco,162 Ravenhill Road,R2K 3K6,MB,Winnipeg,Al Hildebrand,abhildebrand@yahoo.cA,295-5760,1545268,,,,FALSE,162 Ravenhill Road
A & A Trucking Ltd,237 Rita St,R3J 2Y3,MB,Winnipeg,,,,0856864,,,,FALSE,237 Rita St
A & B Auto Wrecking Ltd,,R0E 1M0,MB,Pine Falls,,,,1008952,,,,FALSE,
A & B Builders Ltd,33 Severn Cres,R8N 1N4,MB,Thompson,Murray Bennet,abbuilders@mymts.netBrad Evanson - Supervisor204-677-9998Brad cell - 204-679-4284abbuilders@mymts.netBrad email brad@abbuilders.ca,204-677-9998,1028935,,,,FALSE,33 Severn Cres
A & B Mechanical Ltd,1400 Spruce St,R3E 2V7,MB,Winnipeg,Bruce McWhirter,brianc@abmech.ca,783-3622,1062611,,,,FALSE,1400 Spruce St
A & B Rail Contractors Ltd,17th Avenue Suite 702,T0C 2G0,AB,Nisku,,,,0979187,,,,FALSE,17th Avenue Suite 702
A & B Tire Ltd,342 Amherst St,R3J 1Y9,MB,Winnipeg,,,,0827287,,,,FALSE,342 Amherst St
A & B Train Carriers Ltd,,V2S 6R7,BC,Abbotsford,,,,0934232,,,,FALSE,
A & B Trucking Ltd,,R0G 0P0,MB,Fannystelle,,,,0908343,,,,FALSE,
A & B Walls Enterprises Corp,202 Lipton St,R3G 2G9,MB,Winnipeg,,,,0893917,,,,FALSE,202 Lipton St
A & C Auto & Diesel,1864 Legion Ave W,R2R 0A8,MB,Winnipeg,,,,1031863,,,,FALSE,1864 Legion Ave W
A & D Corner Store,,R0B 0B0,MB,Brochet,,,,0161786,,,,FALSE,
A & D Mcmillan Transportation Ltd,,R9A 1M1,MB,The Pas,,,,0723759,,,,FALSE,
A & D New Arena Inc,,R0C 0A0,MB,Arborg,,,,1083690,,,,FALSE,
A & D Sawing,,R0L 0Y0,MB,Grandview,Andy H & Doung A Zamonsky,,,1155977,,,,FALSE,
A & D Stucco and Concrete Leveling,,,MB,,,,,,,,,FALSE,
A & D Stucco and Concrete Leveling,,,MB,,,,,,,,,FALSE,
A & D Stuccoo & Concrete Levell,106 Avaco Drive,R2K 3J5,MB,Winnipeg,Wendelin Peters,a-stucco@hotmail.com,,,,,,FALSE,106 Avaco Drive
A & E Backhoe,46 Stevens Ave,R1A 2R5,MB,Lockport,Earl Miller,,757-9930,,,,,FALSE,46 Stevens Ave
A & E Construction Ltd,849 Southview Drive,R6W 1Y8,MB,Winkler,,,,0977868,,,,FALSE,849 Southview Drive
A & E Klassen Bros Enterprises Ltd,,R0G 0B0,MB,Altona,ED KLASSEN,,,0582411,,,,FALSE,
A & E Kube Homes,46 Breeze Bend,R5G 0C4,MB,Steinbach,Alex Kube,Alex@Kubehomes.ca,392-2651,,,,,FALSE,46 Breeze Bend
